ステーション名,住所,クラス,車種,コメント
いずみ中央駅前,神奈川県横浜市泉区和泉中央北4-4589,ベーシック,ルークス,ジュニアシートなし
いずみ野駐車場,神奈川県横浜市泉区和泉町5862,ベーシック,N BOX,ジュニアシートなし
いずみ野駐車場,神奈川県横浜市泉区和泉町5862,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
タイムズ横浜中田北,神奈川県横浜市泉区中田北1-8,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
タイムズ横浜和泉町,神奈川県横浜市泉区和泉町6288,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
タイムズ泉区和泉町,神奈川県横浜市泉区和泉中央南3-7,ベーシック,ノート e-POWER,
タイムズ泉区和泉町,神奈川県横浜市泉区和泉中央南3-7,ベーシック,フィット,ジュニアシートなし
タイムズ泉区和泉町第２,神奈川県横浜市泉区和泉中央南1-19,ベーシック,MAZDA2,DJ型（2019年-2023年） ジュニアシートなし
タイムズ泉区和泉町第２,神奈川県横浜市泉区和泉中央南1-19,ベーシック,ノート,ジュニアシートなし
タイムズ泉区和泉町第２,神奈川県横浜市泉区和泉中央南1-19,ベーシック,ヤリスクロス（ハイブリッド）,ジュニアシートなし
タイムズ泉区和泉町第２,神奈川県横浜市泉区和泉中央南1-19,ミドル,シエンタ（ハイブリッド）,ジュニアシートなし
タイムズ緑園都市駅前,神奈川県横浜市泉区緑園1-1,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年） ジュニアシートなし
タイムズ緑園都市駅前,神奈川県横浜市泉区緑園1-1,ミドル,シエンタ（ハイブリッド）,ジュニアシートなし
タイムズ緑園都市駅前,神奈川県横浜市泉区緑園1-1,ミドル,フリード,ジュニアシートなし
タイムズ緑園都市駅前,神奈川県横浜市泉区緑園1-1,プレミアム,セレナ,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。ジュニアシートなし
ノックス弥生台桜テラス,神奈川県横浜市泉区弥生台6-2,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
ノックス弥生台桜テラス,神奈川県横浜市泉区弥生台6-2,ベーシック,ノート e-POWER,ジュニアシートなし
ノックス弥生台桜テラス,神奈川県横浜市泉区弥生台6-2,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
ノックス横浜弥生台,神奈川県横浜市泉区弥生台16-3,ベーシック,ライズ（ハイブリッド）,ジュニアシートなし
メゾン立場,神奈川県横浜市泉区和泉中央南2-25,ベーシック,ノート e-POWER,ジュニアシートなし
メゾン立場,神奈川県横浜市泉区和泉中央南2-25,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
上飯田町月極,神奈川県横浜市泉区上飯田町1007,ベーシック,ノート e-POWER,ジュニアシートなし
中田北２丁目,神奈川県横浜市泉区中田北2-2,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
弥生台パーキング,神奈川県横浜市泉区新橋町765,ベーシック,ノート e-POWER,ジュニアシートなし
弥生台パーキング,神奈川県横浜市泉区新橋町765,ベーシック,フィット,ジュニアシートなし
弥生台パーキング,神奈川県横浜市泉区新橋町765,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
弥生台パーキング,神奈川県横浜市泉区新橋町765,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
