ステーション名,住所,クラス,車種,コメント
アバンサーダ鶴見,神奈川県横浜市鶴見区鶴見中央5-2,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
アバンサーダ鶴見,神奈川県横浜市鶴見区鶴見中央5-2,ミドル,フリード,
グランレジーナ矢向,神奈川県横浜市鶴見区矢向5-13,ベーシック,ノート,
グランレジーナ矢向,神奈川県横浜市鶴見区矢向5-13,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
グランレジーナ矢向,神奈川県横浜市鶴見区矢向5-13,ベーシック,ルーミー 1000,
コンフォール北寺尾,神奈川県横浜市鶴見区獅子ケ谷1-5,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
サニーサイドヒルズ,神奈川県横浜市鶴見区北寺尾1-10,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
サンハイム鶴見,神奈川県横浜市鶴見区下野谷町1-5,ベーシック,ノート e-POWER,
サンハイム鶴見,神奈川県横浜市鶴見区下野谷町1-5,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
サンハイム鶴見,神奈川県横浜市鶴見区下野谷町1-5,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズマンスリー東寺尾北台,神奈川県横浜市鶴見区東寺尾北台9,ベーシック,ルーミー 1000,
タイムズマンスリー東寺尾北台,神奈川県横浜市鶴見区東寺尾北台9,ベーシック,MAZDA3 5HB 1500,
タイムズ下末吉第３,神奈川県横浜市鶴見区下末吉2-9,ベーシック,ハスラー,
タイムズ下末吉第３,神奈川県横浜市鶴見区下末吉2-9,ベーシック,ノート e-POWER,
タイムズ下末吉第５,神奈川県横浜市鶴見区下末吉1-16,ベーシック,ノート e-POWER,
タイムズ下末吉第５,神奈川県横浜市鶴見区下末吉1-16,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ下末吉第７,神奈川県横浜市鶴見区下末吉1-17,ベーシック,ソリオ,
タイムズ下末吉３丁目,神奈川県横浜市鶴見区下末吉3-18,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズ下末吉３丁目,神奈川県横浜市鶴見区下末吉3-18,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
タイムズ下末吉５丁目,神奈川県横浜市鶴見区下末吉5-24,ベーシック,ハスラー,
タイムズ下末吉５丁目,神奈川県横浜市鶴見区下末吉5-24,ベーシック,ハスラー,
タイムズ尻手,神奈川県横浜市鶴見区尻手3-6,ベーシック,オーラ e-POWER,ジュニアシートなし
タイムズ尻手第３,神奈川県横浜市鶴見区尻手2-5,ベーシック,ヤリス（ハイブリッド）,
タイムズ尻手第３,神奈川県横浜市鶴見区尻手2-5,ミドル,フリード,
タイムズ尻手１丁目,神奈川県横浜市鶴見区尻手1-4,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ尻手１丁目第２,神奈川県横浜市鶴見区尻手1-7,ベーシック,アクア（ハイブリッド）,
タイムズ尻手１丁目第２,神奈川県横浜市鶴見区尻手1-7,ベーシック,フィット,
タイムズ梶山,神奈川県横浜市鶴見区梶山2-29,ベーシック,ノート e-POWER,
タイムズ横浜栄町通第３,神奈川県横浜市鶴見区栄町通3-26,ベーシック,フィット（ハイブリッド）,
タイムズ横浜栄町通第３,神奈川県横浜市鶴見区栄町通3-26,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ横浜栄町通第３,神奈川県横浜市鶴見区栄町通3-26,ミドル,フリード,
タイムズ生麦第１０,神奈川県横浜市鶴見区生麦1-14,ベーシック,ノート e-POWER,
タイムズ生麦第４,神奈川県横浜市鶴見区生麦4-12,ベーシック,N BOX,
タイムズ生麦第４,神奈川県横浜市鶴見区生麦4-12,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ生麦第７,神奈川県横浜市鶴見区生麦1-6,ベーシック,ノート e-POWER,
タイムズ生麦第７,神奈川県横浜市鶴見区生麦1-6,ベーシック,ヤリス（ハイブリッド）,
タイムズ生麦第７,神奈川県横浜市鶴見区生麦1-6,ベーシック,MAZDA3 5HB 1500,
タイムズ生麦第７,神奈川県横浜市鶴見区生麦1-6,ベーシック,ライズ（ハイブリッド）,
タイムズ生麦第９,神奈川県横浜市鶴見区生麦5-9,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズ矢向４丁目,神奈川県横浜市鶴見区矢向4-22,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ矢向４丁目,神奈川県横浜市鶴見区矢向4-22,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ矢向４丁目,神奈川県横浜市鶴見区矢向4-22,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ矢向４丁目,神奈川県横浜市鶴見区矢向4-22,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ花月園,神奈川県横浜市鶴見区岸谷4-33,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ花月園,神奈川県横浜市鶴見区岸谷4-33,ベーシック,ルーミー 1000,
タイムズ豊岡町第１６,神奈川県横浜市鶴見区豊岡町20,ベーシック,ソリオ,
タイムズ豊岡町第４,神奈川県横浜市鶴見区豊岡町16,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズ豊岡町第４（ＥＶ）,神奈川県横浜市鶴見区豊岡町16,ミドル,リーフ,ジュニアシートなし
タイムズ豊岡町第７,神奈川県横浜市鶴見区豊岡町22,ベーシック,アクア（ハイブリッド）,
タイムズ豊岡町第７,神奈川県横浜市鶴見区豊岡町22,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見下野谷町,神奈川県横浜市鶴見区下野谷町1-39,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズ鶴見下野谷町,神奈川県横浜市鶴見区下野谷町1-39,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ鶴見中央第１４,神奈川県横浜市鶴見区鶴見中央1-20,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズ鶴見中央第１４,神奈川県横浜市鶴見区鶴見中央1-20,ベーシック,ノート e-POWER,
タイムズ鶴見中央第１４,神奈川県横浜市鶴見区鶴見中央1-20,ベーシック,MAZDA3 5HB 1500,
タイムズ鶴見中央第１６,神奈川県横浜市鶴見区鶴見中央1-20,ベーシック,MAZDA2,
タイムズ鶴見中央第１６,神奈川県横浜市鶴見区鶴見中央1-20,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズ鶴見中央第１６,神奈川県横浜市鶴見区鶴見中央1-20,ベーシック,ソリオ,
タイムズ鶴見中央第１６,神奈川県横浜市鶴見区鶴見中央1-20,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見中央第１６,神奈川県横浜市鶴見区鶴見中央1-20,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ鶴見中央第２６,神奈川県横浜市鶴見区鶴見中央4-15,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見中央第２６,神奈川県横浜市鶴見区鶴見中央4-15,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ鶴見中央第２６,神奈川県横浜市鶴見区鶴見中央4-15,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ鶴見中央第２６,神奈川県横浜市鶴見区鶴見中央4-15,ミドル,フリード,
タイムズ鶴見中央第２６,神奈川県横浜市鶴見区鶴見中央4-15,プレミアム,セレナ,C27型/GNC27型（2016年-2022年） 車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
タイムズ鶴見中央第２６,神奈川県横浜市鶴見区鶴見中央4-15,プレミアム,ノア,R80型（2014年-2022年） 車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
タイムズ鶴見中央第２９,神奈川県横浜市鶴見区鶴見中央4-18,ベーシック,ハスラー,
タイムズ鶴見中央第４,神奈川県横浜市鶴見区鶴見中央4-9,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ鶴見中央第４,神奈川県横浜市鶴見区鶴見中央4-9,ミドル,シエンタ（ハイブリッド）,
タイムズ鶴見中央第５,神奈川県横浜市鶴見区鶴見中央2-3,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
タイムズ鶴見中央第５,神奈川県横浜市鶴見区鶴見中央2-3,ベーシック,ソリオ,
タイムズ鶴見中央第５,神奈川県横浜市鶴見区鶴見中央2-3,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ鶴見中央第５,神奈川県横浜市鶴見区鶴見中央2-3,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ鶴見中央第５,神奈川県横浜市鶴見区鶴見中央2-3,ミドル,シエンタ,NSP170G型/NCP175G型（2015年-2022年）
タイムズ鶴見中央第５,神奈川県横浜市鶴見区鶴見中央2-3,プレミアム,セレナ,C27型/GNC27型（2016年-2022年） 車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
タイムズ鶴見中央第６,神奈川県横浜市鶴見区鶴見中央4-7,ベーシック,N BOX,
タイムズ鶴見中央第６,神奈川県横浜市鶴見区鶴見中央4-7,ベーシック,ソリオ,
タイムズ鶴見中央第６,神奈川県横浜市鶴見区鶴見中央4-7,ミドル,フリード,
タイムズ鶴見中央第６,神奈川県横浜市鶴見区鶴見中央4-7,プレミアム,セレナ,C27型/GNC27型（2016年-2022年） 車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
タイムズ鶴見中央２丁目,神奈川県横浜市鶴見区鶴見中央2-8,ベーシック,アクア（ハイブリッド）,
タイムズ鶴見中央２丁目,神奈川県横浜市鶴見区鶴見中央2-8,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見中央２丁目,神奈川県横浜市鶴見区鶴見中央2-8,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ鶴見中央２丁目,神奈川県横浜市鶴見区鶴見中央2-8,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ鶴見中央２丁目,神奈川県横浜市鶴見区鶴見中央2-8,ミドル,シエンタ,NSP170G型/NCP175G型（2015年-2022年）
タイムズ鶴見中央２丁目,神奈川県横浜市鶴見区鶴見中央2-8,プレミアム,セレナ,C27型/GNC27型（2016年-2022年） 車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
タイムズ鶴見仲通１丁目,神奈川県横浜市鶴見区仲通1-51,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズ鶴見仲通１丁目,神奈川県横浜市鶴見区仲通1-51,ベーシック,ヤリス（ハイブリッド）,
タイムズ鶴見仲通１丁目,神奈川県横浜市鶴見区仲通1-51,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見元宮,神奈川県横浜市鶴見区元宮2-2,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見元宮,神奈川県横浜市鶴見区元宮2-2,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ鶴見向井町,神奈川県横浜市鶴見区向井町4-91,ベーシック,スイフト,
タイムズ鶴見向井町,神奈川県横浜市鶴見区向井町4-91,ベーシック,フィット（ハイブリッド）,
タイムズ鶴見向井町,神奈川県横浜市鶴見区向井町4-91,ベーシック,ルーミー 1000,
タイムズ鶴見向井町,神奈川県横浜市鶴見区向井町4-91,ミドル,フリード,
タイムズ鶴見寺谷第２,神奈川県横浜市鶴見区寺谷2-19,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ鶴見市場,神奈川県横浜市鶴見区市場東中町9-21,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見市場,神奈川県横浜市鶴見区市場東中町9-21,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ鶴見市場第２,神奈川県横浜市鶴見区市場東中町9-21,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見平安町,神奈川県横浜市鶴見区平安町1-58,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズ鶴見平安町,神奈川県横浜市鶴見区平安町1-58,ベーシック,アクア（ハイブリッド）,
タイムズ鶴見平安町,神奈川県横浜市鶴見区平安町1-58,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見平安町,神奈川県横浜市鶴見区平安町1-58,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見東寺尾,神奈川県横浜市鶴見区東寺尾4-17,ベーシック,ノート e-POWER,
タイムズ鶴見東寺尾中台第３,神奈川県横浜市鶴見区東寺尾中台33,ベーシック,スイフト,
タイムズ鶴見東寺尾中台第３,神奈川県横浜市鶴見区東寺尾中台33,ベーシック,フィット（ハイブリッド）,
タイムズ鶴見東寺尾中台第３,神奈川県横浜市鶴見区東寺尾中台33,ベーシック,ヤリス（ハイブリッド）,
タイムズ鶴見東寺尾中台第４,神奈川県横浜市鶴見区東寺尾中台33,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見東寺尾第３,神奈川県横浜市鶴見区東寺尾4-16,ベーシック,ノート e-POWER,
タイムズ鶴見東寺尾第３,神奈川県横浜市鶴見区東寺尾4-16,ベーシック,ノート e-POWER,
タイムズ鶴見東寺尾第３,神奈川県横浜市鶴見区東寺尾4-16,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ鶴見東寺尾第５,神奈川県横浜市鶴見区東寺尾4-6,ベーシック,アクア（ハイブリッド）,
タイムズ鶴見東寺尾第５,神奈川県横浜市鶴見区東寺尾4-6,ベーシック,MAZDA3 5HB 1500,
タイムズ鶴見東寺尾第５,神奈川県横浜市鶴見区東寺尾4-6,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ鶴見東寺尾第７,神奈川県横浜市鶴見区東寺尾2-6,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ鶴見東寺尾第７,神奈川県横浜市鶴見区東寺尾2-6,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ鶴見浜町１丁目,神奈川県横浜市鶴見区浜町1-3,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ鶴見潮田町,神奈川県横浜市鶴見区潮田町2-109,ベーシック,アクア（ハイブリッド）,
タイムズ鶴見町第二団地,神奈川県横浜市鶴見区鶴見中央2-10,ベーシック,ノート e-POWER,
タイムズ鶴見町第二団地,神奈川県横浜市鶴見区鶴見中央2-10,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ鶴見馬場,神奈川県横浜市鶴見区馬場2-22,ベーシック,フィット（ハイブリッド）,
タイムズ鶴見馬場１丁目,神奈川県横浜市鶴見区馬場1-5,ベーシック,ノート e-POWER,
タイムズ鶴見馬場１丁目,神奈川県横浜市鶴見区馬場1-5,ベーシック,ノート e-POWER,
タイムズ鶴見馬場１丁目,神奈川県横浜市鶴見区馬場1-5,ミドル,C-HR（ハイブリッド）,
タイムズＡＧＣ来客用第２,神奈川県横浜市鶴見区小野町36,ベーシック,ノート e-POWER,
タイムズＬＩＣＯＰＡ鶴見,神奈川県横浜市鶴見区鶴見中央3-15,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
ファミール東鶴見駐車場,神奈川県横浜市鶴見区矢向5-10,ベーシック,ワゴンRスマイル 660,
上の宮１丁目月極,神奈川県横浜市鶴見区上の宮1-27,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
上の宮１丁目月極,神奈川県横浜市鶴見区上の宮1-27,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
上の宮１丁目月極,神奈川県横浜市鶴見区上の宮1-27,ベーシック,ライズ,A200A型（2019年-2021年）
上末吉パーキング３,神奈川県横浜市鶴見区上末吉3-12,ベーシック,ソリオ,
上末吉パーキング３,神奈川県横浜市鶴見区上末吉3-12,ベーシック,MAZDA3 5HB 1500,
上末吉パーキング３,神奈川県横浜市鶴見区上末吉3-12,ミドル,シエンタ（ハイブリッド）,
上末吉パーキング３,神奈川県横浜市鶴見区上末吉3-12,ミドル,シエンタ（ハイブリッド）,
下末吉アクアパーキング,神奈川県横浜市鶴見区下末吉3-10,ベーシック,ノート e-POWER,
下末吉アクアパーキング,神奈川県横浜市鶴見区下末吉3-10,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
下末吉第２駐車場,神奈川県横浜市鶴見区下末吉5-3,ベーシック,MAZDA2,DJ型（2019年-2023年）
下末吉第２駐車場,神奈川県横浜市鶴見区下末吉5-3,ベーシック,ヤリスクロス（ハイブリッド）,
下末吉第２駐車場,神奈川県横浜市鶴見区下末吉5-3,ミドル,フリード,
下末吉第３駐車場,神奈川県横浜市鶴見区下末吉4-12,ベーシック,アクア（ハイブリッド）,
京急鶴見中央２丁目,神奈川県横浜市鶴見区鶴見中央2-22,ベーシック,MAZDA2,ジュニアシートなし
京急鶴見中央２丁目,神奈川県横浜市鶴見区鶴見中央2-22,ミドル,フリード,
京急鶴見市場第２,神奈川県横浜市鶴見区市場下町1,ベーシック,N BOX,
京急鶴見市場第２,神奈川県横浜市鶴見区市場下町1,ベーシック,アクア（ハイブリッド）,
北寺尾７丁目月極,神奈川県横浜市鶴見区北寺尾7-8,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
北寺尾７丁目月極,神奈川県横浜市鶴見区北寺尾7-8,ベーシック,ライズ,A200A型（2019年-2021年）
吉兆横浜駒岡店,神奈川県横浜市鶴見区駒岡2-4,ベーシック,MAZDA2,
吉兆横浜駒岡店,神奈川県横浜市鶴見区駒岡2-4,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
吉兆横浜駒岡店,神奈川県横浜市鶴見区駒岡2-4,ベーシック,ノート e-POWER,
吉兆横浜駒岡店,神奈川県横浜市鶴見区駒岡2-4,ベーシック,ノート e-POWER,
吉兆横浜駒岡店,神奈川県横浜市鶴見区駒岡2-4,ベーシック,ノート e-POWER,
寺谷月極駐車場,神奈川県横浜市鶴見区寺谷2-8,ベーシック,ソリオ,ジュニアシートなし
寺谷月極駐車場,神奈川県横浜市鶴見区寺谷2-8,ベーシック,ライズ,A200A型（2019年-2021年）
尻手３丁目,神奈川県横浜市鶴見区尻手3-1,ベーシック,MAZDA2,
東寺尾１丁目,神奈川県横浜市鶴見区東寺尾1-2,ベーシック,ヤリス（ハイブリッド）,
生麦駅入口,神奈川県横浜市鶴見区生麦3-8,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
矢向駅前,神奈川県横浜市鶴見区矢向6-5,ベーシック,ノート e-POWER,
矢向２丁目月極,神奈川県横浜市鶴見区矢向2-2,ベーシック,MAZDA2,DJ型（2019年-2023年） ジュニアシートなし
矢向２丁目月極,神奈川県横浜市鶴見区矢向2-2,ベーシック,ヤリスクロス（ハイブリッド）,
矢向２丁目月極,神奈川県横浜市鶴見区矢向2-2,ミドル,CX-30 2000（M-ハイブリッド）,
矢向４丁目カーネ・ア・キラ,神奈川県横浜市鶴見区矢向4-21,ベーシック,フィット,
矢向６丁目,神奈川県横浜市鶴見区矢向6-6,ベーシック,ヤリスクロス（ハイブリッド）,ジュニアシートなし
豊岡町５丁目月極,神奈川県横浜市鶴見区豊岡町5-7,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
駒岡３丁目月極駐車場,神奈川県横浜市鶴見区駒岡3-21,ベーシック,アクア（ハイブリッド）,
駒岡３丁目月極駐車場,神奈川県横浜市鶴見区駒岡3-21,ベーシック,オーラ e-POWER,
駒岡３丁目月極駐車場,神奈川県横浜市鶴見区駒岡3-21,ベーシック,ヤリスクロス（ハイブリッド）,
鶴見ガーデンハイム,神奈川県横浜市鶴見区馬場1-10,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
鶴見パールハイム,神奈川県横浜市鶴見区佃野町13,ベーシック,アクア（ハイブリッド）,
鶴見パールハイム,神奈川県横浜市鶴見区佃野町13,ベーシック,ノート e-POWER,ジュニアシートなし
鶴見パールハイム,神奈川県横浜市鶴見区佃野町13,ベーシック,フィット,
鶴見下野谷町第２,神奈川県横浜市鶴見区下野谷町4-129,ベーシック,ノート e-POWER,
鶴見中央リビオ新田,神奈川県横浜市鶴見区鶴見中央2-15,ベーシック,ワゴンRスマイル 660,ジュニアシートなし
鶴見中央１丁目駐車場,神奈川県横浜市鶴見区鶴見中央1-20,ベーシック,ルークス,ジュニアシートなし
鶴見中央１丁目駐車場,神奈川県横浜市鶴見区鶴見中央1-20,ベーシック,ワゴンRスマイル 660,ジュニアシートなし
鶴見中央５丁目,神奈川県横浜市鶴見区鶴見中央5-11,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
鶴見中央５丁目,神奈川県横浜市鶴見区鶴見中央5-11,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
鶴見中央５丁目,神奈川県横浜市鶴見区鶴見中央5-11,ベーシック,ライズ,A200A型（2019年-2021年）
鶴見区岸谷３丁目,神奈川県横浜市鶴見区岸谷3-21,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
鶴見区豊岡町２３,神奈川県横浜市鶴見区豊岡町23,ベーシック,N BOX,
鶴見区豊岡町２３,神奈川県横浜市鶴見区豊岡町23,ベーシック,ルークス,
鶴見区豊岡町２３,神奈川県横浜市鶴見区豊岡町23,ベーシック,ワゴンRスマイル 660,
鶴見区豊岡町２３,神奈川県横浜市鶴見区豊岡町23,ベーシック,ワゴンRスマイル 660,
鶴見国道駅前月極,神奈川県横浜市鶴見区生麦5-25,ベーシック,N BOX,
鶴見富士見町,神奈川県横浜市鶴見区市場富士見町9-15,ベーシック,アクア（ハイブリッド）,
鶴見富士見町,神奈川県横浜市鶴見区市場富士見町9-15,ベーシック,アクア（ハイブリッド）,ジュニアシートなし
鶴見富士見町,神奈川県横浜市鶴見区市場富士見町9-15,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
鶴見富士見町,神奈川県横浜市鶴見区市場富士見町9-15,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
鶴見生麦１丁目月極,神奈川県横浜市鶴見区生麦1-6,ベーシック,ソリオ,
鶴見生麦１丁目月極,神奈川県横浜市鶴見区生麦1-6,ベーシック,ノート e-POWER,
鶴見生麦１丁目月極,神奈川県横浜市鶴見区生麦1-6,ベーシック,ヤリス（ハイブリッド）,
鶴見生麦１丁目月極,神奈川県横浜市鶴見区生麦1-6,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
鶴見生麦１丁目月極,神奈川県横浜市鶴見区生麦1-6,ベーシック,ヤリスクロス（ハイブリッド）,
鶴見生麦１丁目月極,神奈川県横浜市鶴見区生麦1-6,ミドル,フリード,
ＭＥＧＡドン・キホーテ鶴見中央店（立体）,神奈川県横浜市鶴見区鶴見中央3-13,ベーシック,ノート e-POWER,
ＭＥＧＡドン・キホーテ鶴見中央店（立体）,神奈川県横浜市鶴見区鶴見中央3-13,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
ＵＲミラリオ鶴見小野,神奈川県横浜市鶴見区小野町6,ベーシック,ノート e-POWER,
ＵＲ鶴見町第二団地,神奈川県横浜市鶴見区鶴見中央2-10,ベーシック,ライズ,A200A型（2019年-2021年）
おおぐちパーキング（ゲート外）,神奈川県横浜市神奈川区七島町153,ベーシック,MAZDA2,DJ型（2019年-2023年）
おおぐちパーキング（ゲート外）,神奈川県横浜市神奈川区七島町153,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,ベーシック,MAZDA2,DJ型（2019年-2023年）
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,ベーシック,アクア（ハイブリッド）,
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,ベーシック,アクア（ハイブリッド）,
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,ベーシック,MAZDA3 5HB 1500,
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,ベーシック,ヤリスクロス（ハイブリッド）,
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,ミドル,シエンタ（ハイブリッド）,
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,ミドル,シエンタ（ハイブリッド）,
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,ミドル,CX-30 2000（M-ハイブリッド）,
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,プレミアム,ノア（ハイブリッド）,
そごう横浜パーキング館,神奈川県横浜市神奈川区金港町1-1,プレミアム,ノア（ハイブリッド）,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
アップクルーズ横濱反町パーク,神奈川県横浜市神奈川区反町2-15,ベーシック,オーラ e-POWER,
アップクルーズ横濱反町パーク,神奈川県横浜市神奈川区反町2-15,ベーシック,スイフト,
アンブル横濱,神奈川県横浜市神奈川区台町6-1,ベーシック,ルークス,
ウェイサイドビル,神奈川県横浜市神奈川区台町1,ベーシック,ルークス,
グランド・ガーラ横浜新子安,神奈川県横浜市神奈川区子安通3-403,ベーシック,ソリオ,
サニーヒルズ・Ｋ鳥越,神奈川県横浜市神奈川区鳥越8,ベーシック,ワゴンRスマイル 660,
サンガーデン反町,神奈川県横浜市神奈川区桐畑19,ベーシック,オーラ e-POWER,ジュニアシートなし
サンガーデン反町,神奈川県横浜市神奈川区桐畑19,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
シティハイツ入江,神奈川県横浜市神奈川区入江2-20,ベーシック,ソリオ,
シャンテ片倉,神奈川県横浜市神奈川区片倉4-14,ベーシック,MAZDA2,DJ型（2019年-2023年）
シャンテ片倉,神奈川県横浜市神奈川区片倉4-14,ベーシック,ヤリスクロス（ハイブリッド）,
ゼファー横濱サウサリート,神奈川県横浜市神奈川区西寺尾3-9,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズおおぐちパーキング,神奈川県横浜市神奈川区七島町153,ベーシック,ハスラー,
タイムズコットンハーバー,神奈川県横浜市神奈川区星野町12,ベーシック,ノート e-POWER,
タイムズコットンハーバー,神奈川県横浜市神奈川区星野町12,ミドル,フリード,
タイムズヨコハマポートサイド,神奈川県横浜市神奈川区栄町8,ベーシック,ノート e-POWER,
タイムズヨコハマポートサイド,神奈川県横浜市神奈川区栄町8,ベーシック,ノート e-POWER,
タイムズヨコハマポートサイド,神奈川県横浜市神奈川区栄町8,ベーシック,フィット（ハイブリッド）,
タイムズヨコハマポートサイド,神奈川県横浜市神奈川区栄町8,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
